nome,tipo,latitude,longitude
Clinica dos Olhos,Clínica,-15.656819,-47.8019514
Agora Consulta,Clínica,-15.8711846,-48.0636137
MEDBrasília consultas médicas,UBS/Médico,-15.8710914,-48.0633483
+ProntoSam,Clínica,-15.8709911,-48.0649632
Clínica São Cristovão,Clínica,-15.8710737,-48.0652086
Sabin medicina diagnóstica,Clínica,-15.8711033,-48.0652784
Sem nome,Escola,-15.8720076,-48.0682932
Hospital Urológico de Brasília,Hospital,-15.8224251,-47.9251883
Clínica Previne,Clínica,-15.8300767,-47.9029601
Alergo Centro,Clínica,-16.0001095,-48.0591873
Fisioterapia Juliana,Clínica,-16.0020742,-48.059756
Corre Cotia Educação Infantil,Escola,-15.812591,-48.0901515
Hospital Doctor Med,UBS/Médico,-15.6219641,-47.6555045
Centro de Saúde 04 de Planaltina,Clínica,-15.6197673,-47.6805631
Centro de Saúde 05 Arapoanga,Clínica,-15.6394064,-47.6471018
Centro Educacional Cond Estância III,Escola,-15.617662,-47.686763
Ec 15 de Planaltina,Escola,-15.6187543,-47.6853743
Escola Classe Estância de Planaltina,Escola,-15.6058917,-47.6701616
Centro Educacional Pompílio Marques de Souza,Escola,-15.5990537,-47.6828288
Escola Classe 11 de Planaltina,Escola,-15.6032788,-47.6461487
Escola Classe 13 de Planaltina,Escola,-15.603528,-47.6424268
Jardim de Infância Casa da Vivência,Escola,-15.6125447,-47.6505881
Escola Classe 06 de Planaltina,Escola,-15.6273894,-47.6466818
Centro Educacional Dona América Guimarães,Escola,-15.6402296,-47.6291493
Centro de Ensino Fundamental Juscelino Kubitscheck;Farmácia Morais,Escola,-15.6011339,-47.6878191
Escola Classe 07 de Planaltina,Escola,-15.6417188,-47.663744
Escola Classe 05 de Planaltina,Escola,-15.631591,-47.6543039
Centro Educacional Estella dos Cherubins Guimarães,Escola,-15.6306589,-47.6598865
Centro de Ensino Fundamental Queima Lençol,Escola,-15.5892286,-47.8430771
Instituto Legislativo Brasileiro,Universidade,-15.796372,-47.8618325
Faculdade de Direito(FDD),Universidade,-15.7593674,-47.8719568
Instituto de Ciencias Sociais(ICS),Universidade,-15.7574675,-47.8727186
Instituto de Relações Internacionais(IREL)/Instituto de Ciência Política,Universidade,-15.7581077,-47.8697145
"Faculdade de Administração, Contabilidade e Economia (FACE)",Universidade,-15.7584381,-47.8718227
Faculdade de Arquitetura e Urbanismo,Universidade,-15.7614841,-47.8700471
Faculdade de Comunicação,Universidade,-15.7608594,-47.8702348
Escola Parque 307-308 Sul,Escola,-15.8127384,-47.9048636
Jardim Pequizeiro,Escola,-15.8417938,-47.7841936
Medicina da Visão,Clínica,-15.8138917,-47.9134755
Interplástica FB,Clínica,-15.8139645,-47.9135355
Oral Concept,Clínica,-15.8270348,-47.9294098
Exame,Clínica,-15.8276823,-47.9290194
Clinicordis,Clínica,-15.8140168,-47.9135471
CLIAOD,Clínica,-15.8140965,-47.9136684
Orthos,Clínica,-15.8139422,-47.9135352
By Imagem,Clínica,-15.813923,-47.9135109
Laboro,Escola,-15.8020658,-47.8947785
Ashram casa Jasmin,Escola,-15.7729372,-47.8913571
1a Infância,Escola,-15.7194265,-47.8873969
Kumon,Escola,-15.7178047,-47.8853765
Instituto Aprender,Escola,-15.7875614,-47.779026
Centro de Ensino Medio 404 de Santa Maria,Escola,-16.0346901,-48.0266342
Centro de Ensino Fundamental 201 de Santa Maria,Escola,-16.0440518,-48.0337001
Centro De Ensino Fundamental 403 De Santa Maria,Escola,-16.0378358,-48.0266935
CED 03 de Sobradinho,Escola,-15.6492001,-47.8121163
CENTRO CLÍNICO  HUMAN-MED,Clínica,-15.7946189,-48.0518818
Unidade Basica de Saúde 09 de Ceilândia,Clínica,-15.8467,-48.123532
Laboratório LAGAS,Universidade,-15.7609042,-47.8706058
Sala de Cartografia,Escola,-15.7607524,-47.8707816
sala de aula (cartografia),Escola,-15.7607318,-47.8708127
auditorio IH,Escola,-15.7609407,-47.8707493
Sala de aula de cartografia,Escola,-15.7607253,-47.8708233
Escola Classe 325 de Samambaia,Escola,-15.897196,-48.1230271
Centro de Ensino Fundamental 04,Escola,-15.7836228,-47.7793112
Escola João Paulo Segundo,Escola,-15.7800243,-47.7845576
Escola Classe 02 do Paranoá,Escola,-15.7635973,-47.7783993
Clínica da Família 1 Samambaia,Clínica,-15.8984403,-48.1211662
Colégio Esplanada,Escola,-15.7627926,-47.7797241
Escola Pica Pau Amarelo,Escola,-15.7675017,-47.7808144
Centro de Ensino Fundamental ABC,Escola,-15.7651603,-47.7808464
Centro de Ensino Fundamental 16 de Taguatinga,Escola,-15.8251879,-48.0909381
Escola Classe 41 de Taguatinga,Escola,-15.8244802,-48.0876776
Escola Classe 53 de Taguatinga,Escola,-15.8314115,-48.0887666
Centro de Educação Infantil 06 de Taguatinga,Escola,-15.8194894,-48.0893513
Centro de Ensino Fundamental 12 de Taguatinga,Escola,-15.803415,-48.0727031
Escola Classe 08 de Taguatinga,Escola,-15.8009925,-48.0654916
Escola Classe 16 de Taguatinga,Escola,-15.7959507,-48.0601024
Centro Educacional 04 de Taguatinga,Escola,-15.79526,-48.0578694
Centro de Educação Infantil 02 de Taguatinga,Escola,-15.8002968,-48.0575278
Centro de Ensino Médio EIT,Escola,-15.8325716,-48.0591008
Escola Classe 39 de Taguatinga,Escola,-15.8249445,-48.0679961
Escola Classe 42 de Taguatinga,Escola,-15.8070968,-48.0954141
